,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
220,Claire Bresnan,USA,1757,,372.0,5,5,0,0,0,0,0,6,16,15,43,25,0.24,74.4
221,Anna Zaikina,RUS,70,,364.5,7,8,1,0,0,0,0,9,26,29,56,39,0.23076923076923078,52.07142857142857
222,Mária  Čelková,SVK,2765,,363.86,14,14,0,0,0,0,0,7,34,21,96,70,0.1,25.990000000000002
223,Saeko Sugimura,JPN,2340,,357.0,5,6,1,0,0,0,0,9,18,28,50,29,0.3103448275862069,71.4
224,Anna Tsyganova,RUS,73,,355.98999999999995,15,15,0,0,0,0,0,17,45,36,122,75,0.22666666666666666,23.732666666666663
225,Jara Späte,SUI,3203,,354.33,10,11,1,0,0,0,0,14,30,46,83,54,0.25925925925925924,35.433
226,Anne Hoarau,FRA,5777,,350.0,1,2,1,0,0,0,0,4,8,5,17,9,0.4444444444444444,350.0
227,Audrey Gawrych,USA,4831,,347.12,3,4,1,0,0,0,0,3,13,4,17,19,0.15789473684210525,115.70666666666666
228,Nikki Van Bergen,NED,3580,,346.15999999999997,6,7,1,0,0,0,0,10,21,21,42,34,0.29411764705882354,57.69333333333333
229,Kasia Pietras,USA,5882,,333.4,3,4,1,0,0,0,0,3,12,5,23,19,0.15789473684210525,111.13333333333333
230,Mie (Marie Therese) Kastet,NOR,3078,,331.5,6,7,1,0,0,0,0,9,19,22,47,34,0.2647058823529412,55.25
231,Saari Watanabe,JPN,2256,,327.0,5,5,0,0,0,0,0,9,20,24,55,25,0.36,65.4
232,Margaryta Zakharova,UKR,1488,,323.75,20,20,0,0,0,0,0,16,59,43,178,100,0.16,16.1875
233,Yael Taub,ISR,3986,,320.32,15,16,1,0,0,0,0,11,39,35,104,79,0.13924050632911392,21.354666666666667
234,Maria Agafonova,RUS,5733,,319.5,3,4,1,0,0,0,0,11,17,24,33,19,0.5789473684210527,106.5
235,Elsa Ponzo,FRA,6232,,318.5,3,4,1,0,0,0,0,4,14,9,24,19,0.21052631578947367,106.16666666666667
236,Julia Winter,GER,3108,,315.0,2,3,1,0,0,0,0,7,10,9,12,14,0.5,157.5
237,Isabelle Faus,USA,4834,,315.0,4,4,0,0,0,0,0,3,11,5,27,20,0.15,78.75
238,Christine Schranz,AUT,1210,,313.0,6,7,1,0,0,0,0,18,24,40,47,34,0.5294117647058824,52.166666666666664
239,Rachel Nilwik,NED,4891,,305.0,2,3,1,0,0,0,0,6,10,7,15,14,0.42857142857142855,152.5
240,Adriene Clark,USA,13020,168.0,298.75,4,5,1,0,0,0,0,9,17,16,38,24,0.375,74.6875
241,Katrine Vandet Salling,DEN,3850,,298.65999999999997,25,25,0,0,0,0,0,19,72,62,192,125,0.152,11.946399999999999
242,Evgeniia Malamid,RUS,49,,294.0,3,4,1,0,0,0,0,4,15,8,21,19,0.21052631578947367,98.0
243,Sarah Schützenberger,GER,4973,,285.5,3,4,1,0,0,0,0,5,10,5,14,19,0.2631578947368421,95.16666666666667
244,Nina Williams,USA,6167,,285.0,2,3,1,0,0,0,0,2,6,3,8,14,0.14285714285714285,142.5
245,Daniela Ebler,SWE,2668,,283.15999999999997,8,8,0,0,0,0,0,9,22,22,54,40,0.225,35.394999999999996
246,Megan Lynch,USA,1874,167.0,281.5,3,4,1,0,0,0,0,6,15,15,53,19,0.3157894736842105,93.83333333333333
247,Mateja Hohkraut,SLO,6049,,279.75,6,6,0,0,0,0,0,8,20,12,31,30,0.26666666666666666,46.625
248,Isabell Leiner,GER,6114,,279.0,5,6,1,0,0,0,0,8,16,14,26,29,0.27586206896551724,55.8
249,Charlotte Jouett-Bosley,USA,5876,,278.0,2,3,1,0,0,0,0,3,7,10,13,14,0.21428571428571427,139.0
250,Hélène Janicot,FRA,455,165.0,278.0,3,4,1,0,0,0,0,8,13,15,25,19,0.42105263157894735,92.66666666666667
251,Naïlé Meignan,FRA,11621,164.0,277.0,4,5,1,0,0,0,0,8,19,17,31,24,0.3333333333333333,69.25
252,Miura Hawkins,USA,6310,,274.0,4,4,0,0,0,0,0,7,12,14,34,20,0.35,68.5
253,Mailys Piazzalunga,FRA,550,,271.5,6,6,0,0,0,0,0,9,19,29,61,30,0.3,45.25
254,Delaney Miller,USA,1724,,271.5,6,7,1,0,0,0,0,10,21,23,59,34,0.29411764705882354,45.25
255,Thomasina Pidgeon,CAN,6168,,268.81,16,16,0,0,0,0,0,8,30,12,46,80,0.1,16.800625
256,Lily Canavan,USA,1792,,265.0,3,4,1,0,0,0,0,3,6,10,20,19,0.15789473684210525,88.33333333333333
257,Lucija Tarkus,SLO,1181,160.0,260.0,1,2,1,0,0,0,0,4,6,5,9,9,0.4444444444444444,260.0
258,Amanda Rohner,SUI,4918,,257.0,2,3,1,0,0,0,0,2,6,2,17,14,0.14285714285714285,128.5
259,Clarrie Lam,CAN,5887,,256.87,6,6,0,0,0,0,0,2,6,2,7,30,0.06666666666666667,42.81166666666667
260,Ryu Nakagawa,JPN,11783,171.0,256.0,3,4,1,0,0,0,0,7,14,12,34,19,0.3684210526315789,85.33333333333333
261,Nelly Kudrova,CZE,5403,,253.32999999999998,8,9,1,0,0,0,0,8,20,18,43,44,0.18181818181818182,31.666249999999998
262,Elena Chiappa,ITA,4772,,253.0,4,5,1,0,0,0,0,6,17,12,36,24,0.25,63.25
263,Quinn Mason,USA,1914,,252.0,5,5,0,0,0,0,0,10,18,24,32,25,0.4,50.4
